id,label,x,y,width,height,center_x,center_y,area,aspect,confidence
1,,161,264,59,28,190.5,278.0,1601,2.107,geometry_only
2,,280,341,58,56,309.0,369.0,3168,1.036,geometry_only
3,,910,811,25,27,922.5,824.5,627,0.926,geometry_only
4,,1016,811,129,53,1080.5,837.5,6713,2.434,geometry_only
5,,1403,811,26,53,1416.0,837.5,1281,0.491,geometry_only
6,,1528,814,52,24,1554.0,826.0,1151,2.167,geometry_only
7,,910,840,25,24,922.5,852.0,541,1.042,geometry_only
8,,739,871,53,34,765.5,888.0,1677,1.559,geometry_only
9,,799,906,51,53,824.5,932.5,2555,0.962,geometry_only
10,,858,906,287,53,1001.5,932.5,14794,5.415,geometry_only
11,,1151,906,34,53,1168.0,932.5,1643,0.642,geometry_only
12,,1325,906,25,25,1337.5,918.5,572,1.0,geometry_only
13,,1403,906,26,26,1416.0,919.0,577,1.0,geometry_only
14,,1403,934,26,24,1416.0,946.0,559,1.083,geometry_only
15,,1325,935,25,23,1337.5,946.5,541,1.087,geometry_only
