id,label,x,y,width,height,center_x,center_y,area,aspect,confidence
1,,950,124,28,60,964.0,154.0,1560,0.467,geometry_only
2,,832,256,60,58,862.0,285.0,3287,1.034,geometry_only
3,,264,754,37,60,282.5,784.0,2077,0.617,geometry_only
4,,202,818,62,58,233.0,847.0,3304,1.069,geometry_only
5,,196,885,68,57,230.0,913.5,3135,1.193,geometry_only
6,,196,943,68,115,230.0,1000.5,6266,0.591,geometry_only
7,,308,944,58,28,337.0,958.0,1578,2.071,geometry_only
8,,304,1060,62,27,335.0,1073.5,1428,2.296,geometry_only
9,,196,1087,68,58,230.0,1116.0,3091,1.172,geometry_only
10,,304,1088,62,28,335.0,1102.0,1462,2.214,geometry_only
11,,304,1117,62,28,335.0,1131.0,1474,2.214,geometry_only
12,,196,1146,68,28,230.0,1160.0,1496,2.429,geometry_only
13,,304,1147,62,27,335.0,1160.5,1406,2.296,geometry_only
14,,304,1175,62,27,335.0,1188.5,1407,2.296,geometry_only
15,,200,1208,62,38,231.0,1227.0,2137,1.632,geometry_only
16,,200,1396,60,32,230.0,1412.0,1685,1.875,geometry_only
17,,198,1484,60,30,228.0,1499.0,1564,2.0,geometry_only
18,,304,1484,57,30,332.5,1499.0,1547,1.9,geometry_only
19,,321,1622,36,58,339.0,1651.0,1868,0.621,geometry_only
